owned_card_id,card_name,current_quantity,current_is_ex,current_special_type,current_rarity,source_screenshot,likely_issue,candidate_summary,option_1_set_code,option_1_card_number,option_1_pack_name,option_1_rarity,option_2_set_code,option_2_card_number,option_2_pack_name,option_2_rarity,option_3_set_code,option_3_card_number,option_3_pack_name,option_3_rarity,confirmed_action,confirmed_set_code,confirmed_card_number,confirmed_quantity_for_this_version,split_1_set_code,split_1_card_number,split_1_quantity,split_2_set_code,split_2_card_number,split_2_quantity,user_notes
marowak_unknown_unknown_v1,Marowak,1,TRUE,unknown,unknown,IMG_1525.PNG,"ex_mismatch — card has is_ex=True but name lookup matched regular Marowak. Candidates below are for Marowak ex. Prior fill (A1/#226, A4b/#353) was incorrect (those are Lt. Surge and Red). Check card number in app — likely A1/#153 (Mewtwo, 4-diamond) or A4b/#196.",A1#153 Mewtwo [four_diamond] | A1#264 Mewtwo [double_star] | A3#236 Lunala [double_star] | A4b#196 Deluxe Pack: ex [four_diamond],A1,153,Mewtwo,four_diamond,A4b,196,Deluxe Pack: ex,four_diamond,A3,236,Lunala,double_star,leave_unresolved,A1/A4b,"153, 196",1,,,,,,,Marowak EX
giovanni_unknown_unknown_v1,Giovanni,1,FALSE,unknown,unknown,IMG_1528.PNG,"regular vs A4b special-art — single owned card but name appears in an older set (regular 2-diamond or full-art) AND in A4b (Deluxe Pack: ex, immersive special-art). Check card artwork: A4b immersive trainers have full-bleed unique art. Rarity in app: 2♦ = two_diamond, ☆☆ = double_star.",A1#223 Mewtwo [two_diamond] | A1#270 Mewtwo [double_star] | A4b#334 Deluxe Pack: ex [two_diamond] | A4b#335 Deluxe Pack: ex [two_diamond],A1,223,Mewtwo,two_diamond,A4b,334,Deluxe Pack: ex,two_diamond,,,,,apply_single,A1,223,,,,,,,,Regular support card
sabrina_unknown_unknown_v1,Sabrina,1,FALSE,unknown,unknown,IMG_1528.PNG,"regular vs A4b special-art — single owned card but name appears in an older set (regular 2-diamond or full-art) AND in A4b (Deluxe Pack: ex, immersive special-art). Check card artwork: A4b immersive trainers have full-bleed unique art. Rarity in app: 2♦ = two_diamond, ☆☆ = double_star.",A1#225 Charizard [two_diamond] | A1#272 Charizard [double_star] | A4b#338 Deluxe Pack: ex [two_diamond] | A4b#339 Deluxe Pack: ex [two_diamond],A1,225,Charizard,two_diamond,A4b,338,Deluxe Pack: ex,two_diamond,,,,,apply_single,A1,225,,,,,,,,Regular support card
leaf_unknown_unknown_v1,Leaf,1,FALSE,unknown,unknown,IMG_1528.PNG,"regular vs A4b special-art — single owned card but name appears in an older set (regular 2-diamond or full-art) AND in A4b (Deluxe Pack: ex, immersive special-art). Check card artwork: A4b immersive trainers have full-bleed unique art. Rarity in app: 2♦ = two_diamond, ☆☆ = double_star.",A1a#68 Mew [two_diamond] | A1a#82 Mew [double_star] | A4b#346 Deluxe Pack: ex [two_diamond] | A4b#347 Deluxe Pack: ex [two_diamond],A1a,68,Mew,two_diamond,A4b,346,Deluxe Pack: ex,two_diamond,,,,,apply_single,A1a,68,,,,,,,,Regular support card
cyrus_unknown_unknown_v1,Cyrus,1,FALSE,unknown,unknown,IMG_1528.PNG,"regular vs A4b special-art — single owned card but name appears in an older set (regular 2-diamond or full-art) AND in A4b (Deluxe Pack: ex, immersive special-art). Check card artwork: A4b immersive trainers have full-bleed unique art. Rarity in app: 2♦ = two_diamond, ☆☆ = double_star.",A2#150 Palkia [two_diamond] | A2#190 Palkia [double_star] | A4b#326 Deluxe Pack: ex [two_diamond] | A4b#327 Deluxe Pack: ex [two_diamond],A2,150,Palkia,two_diamond,A4b,326,Deluxe Pack: ex,two_diamond,,,,,apply_single,A2,150,,,,,,,,Regular support card
rare_candy_unknown_unknown_v1,Rare Candy,1,FALSE,unknown,unknown,IMG_1528.PNG,regular vs A4b special version — item/tool appears in an older set (shared pool or pack-specific) AND in A4b (Deluxe Pack: ex). Check set indicator in card detail view.,A3#144 None [two_diamond] | A4b#314 Deluxe Pack: ex [two_diamond] | A4b#315 Deluxe Pack: ex [two_diamond] | A4b#379 Deluxe Pack: ex [None],A3,144,shared (all packs),two_diamond,A4b,314,Deluxe Pack: ex,two_diamond,,,,,apply_single,A3,144,,,,,,,,Regular item card
lillie_unknown_unknown_v1,Lillie,1,FALSE,unknown,unknown,IMG_1528.PNG,"regular vs A4b special-art — single owned card but name appears in an older set (regular 2-diamond or full-art) AND in A4b (Deluxe Pack: ex, immersive special-art). Check card artwork: A4b immersive trainers have full-bleed unique art. Rarity in app: 2♦ = two_diamond, ☆☆ = double_star.",A3#155 Solgaleo [two_diamond] | A3#197 Solgaleo [double_star] | A3#209 Solgaleo [triple_star] | A4b#348 Deluxe Pack: ex [two_diamond] | A4b#349 Deluxe Pack: ex [two_diamond] | A4b#374 Deluxe Pack: ex [double_star],A3,155,Solgaleo,two_diamond,A4b,348,Deluxe Pack: ex,two_diamond,,,,,apply_single,A3,155,,,,,,,,Regular support card
giant_cape_unknown_unknown_v1,Giant Cape,1,FALSE,unknown,unknown,IMG_1528.PNG,regular vs A4b special version — item/tool appears in an older set (shared pool or pack-specific) AND in A4b (Deluxe Pack: ex). Check set indicator in card detail view.,A2#147 Dialga [two_diamond] | A4b#320 Deluxe Pack: ex [two_diamond] | A4b#321 Deluxe Pack: ex [two_diamond],A2,147,Dialga,two_diamond,A4b,320,Deluxe Pack: ex,two_diamond,,,,,apply_single,A2,147,,,,,,,,Regular support card
bulbasaur_unknown_unknown_v2,Bulbasaur,1,FALSE,unknown,one_diamond,IMG_1535.PNG,"same name across multiple sets — rarity=one_diamond narrows candidates significantly. B1a/#1 is already confirmed as bulbasaur_unknown_unknown_v3. Remaining one_diamond options: A1/#1 (Mewtwo), A4b/#1, A4b/#2 (Deluxe Pack: ex).",A1#1 Mewtwo [one_diamond] | A1#227 Mewtwo [one_star] | A3#210 Solgaleo [one_star] | A4b#1 Deluxe Pack: ex [one_diamond] | A4b#2 Deluxe Pack: ex [one_diamond] | B1a#1 Crimson Blaze [one_diamond],A1,1,Mewtwo,one_diamond,A4b,1,Deluxe Pack: ex,one_diamond,A4b,2,Deluxe Pack: ex,one_diamond,leave_unresolved,A1/A4b,"001, 001",1,,,,,,,
farfetch_d_unknown_unknown_v1,Farfetch'd,1,FALSE,unknown,unknown,IMG_1536.PNG,"same name across multiple sets — appears in A1 (shared pool, one_diamond), A3b (Eevee Grove, one_star), A4a (Secluded Springs, one_diamond), and A4b (multiple versions including one_diamond and one_star). Check set indicator and card number in app.",A1#198 None [one_diamond] | A3b#102 Eevee Grove [one_star] | A4a#56 Secluded Springs [one_diamond] | A4b#280 Deluxe Pack: ex [one_diamond] | A4b#281 Deluxe Pack: ex [one_diamond] | A4b#359 Deluxe Pack: ex [one_star],A1,198,shared (all packs),one_diamond,A3b,102,Eevee Grove,one_star,A4a,56,Secluded Springs,one_diamond,leave_unresolved,A1/A4b,"198, 280",1,,,,,,,
