id,card_name,quantity,special_type,is_ex,card_category,pokemon_type,stage,hp,rarity,set_or_pack,source_screenshot,source_row,source_column,needs_review,review_reason,variant_notes
quick_grow_extract_special_trainer_unknown_v1,Quick-Grow Extract,1,special_trainer,False,Item,None,None,,unknown,unknown,IMG_1524.PNG,1,1,False,,Rainbow foil border confirmed in crop; Item trainer with special art treatment
blaziken_unknown_unknown_v1,Blaziken,1,unknown,False,Pokemon,Fire,Stage 2,140,unknown,unknown,IMG_1524.PNG,1,2,True,Special art effects visible in crop suggest illustration_rare or special_art variant; full card view needed to confirm special_type and rarity.,Sparkle/star art effects visible in crop; likely illustration_rare or special_art but cannot confirm type from partial view. Attack: Blaze Kick 100.
skrelp_unknown_unknown_v1,Skrelp,1,unknown,False,Pokemon,Darkness,Basic,60,unknown,unknown,IMG_1524.PNG,1,3,True,Sparkle art effects in crop suggest illustration_rare variant; full card view needed to confirm special_type and rarity.,Sparkle/star art effects in background visible in crop; likely illustration_rare. Attack: Razor Fin 40.
sobble_unknown_unknown_v1,Sobble,1,unknown,False,Pokemon,Water,Basic,60,unknown,unknown,IMG_1524.PNG,2,1,True,Special type not determinable from partial crop; full card view needed to confirm special_type and rarity.,Illustrated water/pond scene; attack 'Find a Friend' confirmed in crop.
clemont_special_trainer_unknown_v1,Clemont,1,special_trainer,False,Supporter,None,None,,unknown,unknown,IMG_1524.PNG,2,2,False,,Elaborate sparkle/full-art style confirmed in crop; Supporter trainer with clear special art treatment.
bulbasaur_unknown_unknown_v1,Bulbasaur,1,unknown,False,Pokemon,Grass,Basic,70,unknown,unknown,IMG_1524.PNG,2,3,True,Special type not determinable from partial crop; full card view needed to confirm special_type and rarity.,Attack 'Vine Whip 40' confirmed in crop.
shroomish_unknown_unknown_v1,Shroomish,1,unknown,False,Pokemon,Grass,Basic,60,unknown,unknown,IMG_1524.PNG,3,1,True,Special type not determinable from partial crop; row 3 quantity chip falls outside crop window.,
tepig_unknown_unknown_v1,Tepig,1,unknown,False,Pokemon,Fire,Basic,60,unknown,unknown,IMG_1524.PNG,3,2,True,Special type not determinable from partial crop; row 3 quantity chip falls outside crop window.,
zekrom_unknown_unknown_v1,Zekrom,1,unknown,False,Pokemon,Lightning,Basic,120,unknown,unknown,IMG_1524.PNG,3,3,True,Special type not determinable from partial crop; row 3 quantity chip falls outside crop window.,Dramatic dark art visible in crop.
morpeko_unknown_unknown_v1,Morpeko,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1525.PNG,1,1,True,special_type not confirmed; visual review needed,
bonsly_unknown_unknown_v1,Bonsly,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1525.PNG,1,2,True,special_type not confirmed; visual review needed,
riolu_unknown_unknown_v1,Riolu,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1525.PNG,1,3,True,special_type not confirmed; visual review needed,
meltan_unknown_unknown_v1,Meltan,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1525.PNG,2,1,True,special_type not confirmed; visual review needed,
moltres_unknown_unknown_v1,Moltres,1,unknown,True,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1525.PNG,2,2,True,special_type not confirmed; visual review needed,
marowak_unknown_unknown_v1,Marowak,1,unknown,True,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1525.PNG,2,3,True,special_type not confirmed; visual review needed,
incineroar_unknown_unknown_v1,Incineroar,1,unknown,True,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1525.PNG,3,1,True,special_type not confirmed; visual review needed,
mega_venusaur_ex_unknown_unknown_v1,Mega Venusaur ex,2,unknown,True,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1525.PNG,3,2,True,special_type not confirmed; visual review needed,MEGA; user wrote Venosaur
mega_charizard_y_ex_unknown_unknown_v1,Mega Charizard Y ex,2,unknown,True,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1525.PNG,3,3,True,special_type not confirmed; visual review needed,MEGA Charizard Y EX
vaporeon_unknown_unknown_v1,Vaporeon,1,unknown,True,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1526.PNG,1,1,True,special_type not confirmed; visual review needed,
magnezone_unknown_unknown_v1,Magnezone,1,unknown,True,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1526.PNG,1,2,True,special_type not confirmed; visual review needed,
corviknight_unknown_unknown_v1,Corviknight,1,unknown,True,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1526.PNG,1,3,True,special_type not confirmed; visual review needed,
eelektross_unknown_unknown_v1,Eelektross,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1526.PNG,2,1,True,special_type not confirmed; visual review needed,user wrote Elektross
charizard_unknown_unknown_v1,Charizard,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1526.PNG,2,2,True,special_type not confirmed; visual review needed,
genesect_unknown_unknown_v1,Genesect,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1526.PNG,2,3,True,special_type not confirmed; visual review needed,
hearthflame_mask_ogerpon_unknown_unknown_v1,Hearthflame Mask Ogerpon,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1526.PNG,3,1,True,special_type not confirmed; visual review needed,
yveltal_unknown_unknown_v1,Yveltal,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1526.PNG,3,2,True,special_type not confirmed; visual review needed,
budew_unknown_unknown_v1,Budew,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1526.PNG,3,3,True,special_type not confirmed; visual review needed,
victini_unknown_unknown_v1,Victini,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1527.PNG,1,1,True,special_type not confirmed; visual review needed,
meloetta_unknown_unknown_v1,Meloetta,3,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1527.PNG,1,2,True,special_type not confirmed; visual review needed,
crobat_unknown_unknown_v1,Crobat,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1527.PNG,1,3,True,special_type not confirmed; visual review needed,
urshifu_unknown_unknown_v1,Urshifu,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1527.PNG,2,1,True,special_type not confirmed; visual review needed,
stoutland_unknown_unknown_v1,Stoutland,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1527.PNG,2,2,True,special_type not confirmed; visual review needed,
sandslash_unknown_unknown_v1,Sandslash,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1527.PNG,2,3,True,special_type not confirmed; visual review needed,
onix_unknown_unknown_v1,Onix,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1527.PNG,3,1,True,special_type not confirmed; visual review needed,
mienshao_unknown_unknown_v1,Mienshao,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1527.PNG,3,2,True,special_type not confirmed; visual review needed,
dodrio_unknown_unknown_v1,Dodrio,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1527.PNG,3,3,True,special_type not confirmed; visual review needed,
giovanni_unknown_unknown_v1,Giovanni,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1528.PNG,1,1,True,special_type not confirmed; visual review needed; notes indicate uncertainty: autofill_score_100; user_verify,autofill_score_100; user_verify
sabrina_unknown_unknown_v1,Sabrina,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1528.PNG,1,2,True,special_type not confirmed; visual review needed; notes indicate uncertainty: autofill_score_100; user_verify,autofill_score_100; user_verify
leaf_unknown_unknown_v1,Leaf,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1528.PNG,1,3,True,special_type not confirmed; visual review needed; notes indicate uncertainty: autofill_score_100; user_verify,autofill_score_100; user_verify
cyrus_unknown_unknown_v1,Cyrus,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1528.PNG,2,1,True,special_type not confirmed; visual review needed,supporter card
rare_candy_unknown_unknown_v1,Rare Candy,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1528.PNG,2,2,True,special_type not confirmed; visual review needed; notes indicate uncertainty: autofill_score_100; user_verify,autofill_score_100; user_verify
lillie_unknown_unknown_v1,Lillie,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1528.PNG,2,3,True,special_type not confirmed; visual review needed; notes indicate uncertainty: autofill_score_100; user_verify,autofill_score_100; user_verify
giant_cape_unknown_unknown_v1,Giant Cape,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1528.PNG,3,1,True,special_type not confirmed; visual review needed; notes indicate uncertainty: autofill_score_100; user_verify,autofill_score_100; user_verify
arcanine_unknown_unknown_v1,Arcanine,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1528.PNG,3,2,True,special_type not confirmed; visual review needed,pokemon; user wrote Arcaniner
turtonator_unknown_unknown_v1,Turtonator,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1528.PNG,3,3,True,special_type not confirmed; visual review needed,pokemon
palossand_unknown_unknown_v1,Palossand,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1529.PNG,1,1,True,special_type not confirmed; visual review needed,
flame_patch_unknown_unknown_v1,Flame Patch,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1529.PNG,1,2,True,special_type not confirmed; visual review needed,
may_unknown_unknown_v1,May,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1529.PNG,1,3,True,special_type not confirmed; visual review needed,autofill candidate; user verified
copycat_unknown_unknown_v1,Copycat,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1529.PNG,2,1,True,special_type not confirmed; visual review needed,
ivysaur_unknown_unknown_v1,Ivysaur,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1529.PNG,2,2,True,special_type not confirmed; visual review needed,
wartortle_unknown_unknown_v1,Wartortle,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1529.PNG,2,3,True,special_type not confirmed; visual review needed,
clawitzer_unknown_unknown_v1,Clawitzer,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1529.PNG,3,1,True,special_type not confirmed; visual review needed,
magneton_unknown_unknown_v1,Magneton,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1529.PNG,3,2,True,special_type not confirmed; visual review needed,
heliolisk_unknown_unknown_v1,Heliolisk,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1529.PNG,3,3,True,special_type not confirmed; visual review needed,
mismagius_unknown_unknown_v1,Mismagius,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1530.PNG,1,1,True,special_type not confirmed; visual review needed,
hariyama_unknown_unknown_v1,Hariyama,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1530.PNG,1,2,True,special_type not confirmed; visual review needed,
garbodor_unknown_unknown_v1,Garbodor,3,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1530.PNG,1,3,True,special_type not confirmed; visual review needed,
steelix_unknown_unknown_v1,Steelix,3,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1530.PNG,2,1,True,special_type not confirmed; visual review needed,
probopass_unknown_unknown_v1,Probopass,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1530.PNG,2,2,True,special_type not confirmed; visual review needed,
ditto_unknown_unknown_v1,Ditto,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1530.PNG,2,3,True,special_type not confirmed; visual review needed,
porygon2_unknown_unknown_v1,Porygon2,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1530.PNG,3,1,True,special_type not confirmed; visual review needed,
staraptor_unknown_unknown_v1,Staraptor,5,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1530.PNG,3,2,True,special_type not confirmed; visual review needed,
bouffalant_unknown_unknown_v1,Bouffalant,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1530.PNG,3,3,True,special_type not confirmed; visual review needed,
furfrou_unknown_unknown_v1,Furfrou,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1531.PNG,1,1,True,special_type not confirmed; visual review needed,
clemont_s_backpack_unknown_unknown_v1,Clemont's Backpack,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1531.PNG,1,2,True,special_type not confirmed; visual review needed,autofill verified
quick_grow_extract_unknown_unknown_v1,Quick-Grow Extract,3,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1531.PNG,1,3,True,special_type not confirmed; visual review needed,autofill verified
clemont_unknown_unknown_v1,Clemont,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1531.PNG,2,1,True,special_type not confirmed; visual review needed,autofill verified
serena_unknown_unknown_v1,Serena,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1531.PNG,2,2,True,special_type not confirmed; visual review needed,autofill verified
galarian_rapidash_unknown_unknown_v1,Galarian Rapidash,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1531.PNG,2,3,True,special_type not confirmed; visual review needed,
machamp_unknown_unknown_v1,Machamp,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1531.PNG,3,1,True,special_type not confirmed; visual review needed,
doublade_unknown_unknown_v1,Doublade,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1531.PNG,3,2,True,special_type not confirmed; visual review needed,
charmeleon_unknown_unknown_v1,Charmeleon,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1531.PNG,3,3,True,special_type not confirmed; visual review needed,
breloom_unknown_unknown_v1,Breloom,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1532.PNG,1,1,True,special_type not confirmed; visual review needed,
leavanny_unknown_unknown_v1,Leavanny,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1532.PNG,1,2,True,special_type not confirmed; visual review needed,
pignite_unknown_unknown_v1,Pignite,3,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1532.PNG,1,3,True,special_type not confirmed; visual review needed,
darmanitan_unknown_unknown_v1,Darmanitan,3,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1532.PNG,2,1,True,special_type not confirmed; visual review needed,
poliwhirl_unknown_unknown_v1,Poliwhirl,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1532.PNG,2,2,True,special_type not confirmed; visual review needed,
paldean_tauros_unknown_unknown_v1,Paldean Tauros,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1532.PNG,2,3,True,special_type not confirmed; visual review needed,
quagsire_unknown_unknown_v1,Quagsire,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1532.PNG,3,1,True,special_type not confirmed; visual review needed,
huntail_unknown_unknown_v1,Huntail,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1532.PNG,3,2,True,special_type not confirmed; visual review needed,
gorebyss_unknown_unknown_v1,Gorebyss,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1532.PNG,3,3,True,special_type not confirmed; visual review needed,
magneton_unknown_unknown_v2,Magneton,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1533.PNG,1,1,True,special_type not confirmed; visual review needed,
lanturn_unknown_unknown_v1,Lanturn,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1533.PNG,1,2,True,special_type not confirmed; visual review needed,
hattrem_unknown_unknown_v1,Hattrem,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1533.PNG,1,3,True,special_type not confirmed; visual review needed,
toxicroak_unknown_unknown_v1,Toxicroak,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1533.PNG,2,1,True,special_type not confirmed; visual review needed,
bewear_unknown_unknown_v1,Bewear,2,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1533.PNG,2,2,True,special_type not confirmed; visual review needed,
sandaconda_unknown_unknown_v1,Sandaconda,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1533.PNG,2,3,True,special_type not confirmed; visual review needed,
golbat_unknown_unknown_v1,Golbat,1,unknown,False,Unknown,Unknown,Unknown,,unknown,unknown,IMG_1533.PNG,3,1,True,special_type not confirmed; visual review needed,
